issue_type,source_index,is_code,is_code_norm,title,detail
possible_merged_record_artifact,340,IS 1328: 1996,IS1328:1996,VENEERED DECORATIVE PLYWOOD,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,341,IS 4990: 1993,IS4990:1993,PLYWOOD FOR CONCRETE SHUTTERING WORK,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,342,IS 5509: 2000,IS5509:2000,FIRE RETARDANT PLYWOOD,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,343,IS 5539: 1969,IS5539:1969,PRESERVATIVE TREATED PLYWOOD,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,345,IS 10701: 1983,IS10701:1983,STRUCTURAL PLYWOOD,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,346,IS 13957: 1994,IS13957:1994,METAL FACED PLYWOOD,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,348,IS 1659: 2004,IS1659:2004,BLOCK BOARDS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,356,IS 12823: 1990,IS12823:1990,WOOD PRODUCTS-PRELAMINATED,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,357,IS 14276: 1995,IS14276:1995,CEMENT BONDED PARTICLE BOARDS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,358,IS 14587: 1998,IS14587:1998,PRE-LAMINATED MEDIUM DENSITY FIBRE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,359,IS 14616: 1999,IS14616:1999,LAMINATED  VENEER LUMBER,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,361,IS 14588: 1999,IS14588:1999,BAMBOO MAT-VEENER COMPOSITE FOR,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,362,IS 14842: 2000,IS14842:2000,COIR VENEER BOARD FOR,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,364,IS 15491: 2004,IS15491:2004,MEDIUM DENSITY COIRBOARDS FOR,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,365,IS 1003 (Part 1): 2003,IS1003(PART 1):2003,TIMBER PANELLED AND GLAZED,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,369,IS 2191 (Part 2): 1983,IS2191(PART 2):1983,WOODEN FLUSH DOOR SHUTTERS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,372,IS 4021: 1995,IS4021:1995,"TIMBER DOOR, WINDOW AND VENTILATOR",text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,376,IS 1038: 1983,IS1038:1983,"STEEL DOOR, WINDOWS AND VENTILATORS",text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,385,IS 14856: 2000,IS14856:2000,GLASS FIBRE REINFORCED PLASTIC (GRP),text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,387,IS 432 (Part 1): 1982,IS432(PART 1):1982,MILD STEEL AND MEDIUM  TENSILE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,389,IS 1566: 1982,IS1566:1982,HARD - DRAWN  STEEL WIRE FABRIC FOR CON-,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,398,IS 14268: 1995,IS14268:1995,UNCOATED STRESS RELIEVED  LOW,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,399,IS 1977: 1996,IS1977:1996,LOW TENSILE STRUCTURAL  STEEL,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,400,IS 2062: 1999,IS2062:1999,STEEL FOR GENERAL STRUCTURAL PURPOSES,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,402,IS 11587: 1986,IS11587:1986,STRUCTURAL WEATHER RESISTANCE STEELS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,403,IS 277: 2003,IS277:2003,GALVANIZED STEEL SHEETS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,405,IS 513: 1994,IS513:1994,COLD ROLLED LOW CARBON STEEL,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,406,IS 1079: 1994,IS1079:1994,HOT ROLLED CARBON STEEL SHEETS AND STRIPS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,407,IS 3502: 1994,IS3502:1994,STEEL CHEQUERED PLATES,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,411,IS 1149: 1982,IS1149:1982,HIGH  TENSILE STEEL RIVETS BARS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,412,IS 1161: 1998,IS1161:1998,STEEL  TUBES FOR STRUCTURAL PURPOSES.,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,413,IS 4923: 1997,IS4923:1997,HOLLOW STEEL SECTIONS  FOR STRUCTURAL,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,425,IS 2678: 1987,IS2678:1987,DIMENSIONS AND  TOLERANCE FOR WROUGHT,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,432,IS 811: 1987,IS811:1987,COLD FORMED LIGHT GAUGE STRUCTURAL STEEL,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,436,IS 1863: 1979,IS1863:1979,ROLLED  STEEL BULB FLATS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,442,IS 12778: 2004,IS12778:2004,HOT ROLLED PARALLEL FLANGE STEEL SECTION,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,443,IS 814: 2004,IS814:2004,COVERED ELECTRODES FOR MANUAL METAL ARC,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,451,IS 7280: 1974,IS7280:1974,BARE WIRE ELECTRODES FOR SUBMERGED ARC,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,452,IS 8363: 1976,IS8363:1976,BARE WIRE ELECTRODES FOR ELECTROSLAG,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,457,IS 730: 1978,IS730:1978,HOOK BOLTS FOR CORRUGATED SHEET ROOFING,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,472,IS 2585: 1968,IS2585:1968,BLACK SQUARE BOLTS AND NUTS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,473,IS 2687: 1991,IS2687:1991,CAP NUTS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,474,IS 2907: 1998,IS2907:1998,NON-FERROUS RIVETS (1.6 TO 10 mm),text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,475,IS 2998: 1982,IS2998:1982,COLD FORGED STEEL RIVETS FOR COLD,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,476,IS 3063: 1994,IS3063:1994,FASTENERS-SINGLE COIL RECTANGULAR,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,477,IS 3121: 1981,IS3121:1981,RIGGING SCREWS AND STRETCHING SCREWS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,478,IS 3468: 1991,IS3468:1991,PIPE NUTS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,479,IS 3757: 1985,IS3757:1985,HIGH STRENGTH STRUCTURAL BOLTS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,485,IS 5624: 1993,IS5624:1993,FOUNDATION BOLTS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,488,IS 6623: 2004,IS6623:2004,HIGH STRENGTH STRUCTURAL NUTS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,489,IS 6639: 1972,IS6639:1972,HEXAGON BOLTS FOR STEEL STRUCTURES,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,490,IS 6649: 1985,IS6649:1985,HARDENED AND TEMPERED WASHERS FOR HIGH,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,495,IS 8033: 1976,IS8033:1976,WASHERS WITH SQUARE HOLE FOR WOOD,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,498,IS 10238: 2001,IS10238:2001,FASTENERS – THREADED STEEL,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,499,IS 12427: 2001,IS12427:2001,FASTENERS – THREADED STEEL,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,500,IS 278: 1978,IS278:1978,GALVANIZED STEEL BARBED WIRE FOR FENCING,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,501,IS 2140: 1978,IS2140:1978,STRANDED GALVANIZED STEEL WIRE FOR,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,503,IS 2721: 1979,IS2721:1979,GALVANIZED STEEL CHAIN  LINK FENCE  FABRIC,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,506,IS 5437: 1994,IS5437:1994,"FIGURED, ROLLED AND WIRED GLASS",text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,508,IS 419: 1967,IS419:1967,"PUTTY, FOR USE ON WINDOW FRAMES",text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,510,IS 3709: 1966,IS3709:1966,MASTIC CEMENT FOR BEDDING OF,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,514,IS 7509: 1993,IS7509:1993,THERMAL INSULATING CEMENT,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,515,IS 8154: 1993,IS8154:1993,PREORMED CALCIUM SILICATE INSULATION,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,516,IS 8183: 1993,IS8183:1993,BONDED MINERAL WOOL,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,517,IS 9428: 1993,IS9428:1993,PREFORMED CALCIUM SILICATE INSULATION,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,518,IS 9742: 1993,IS9742:1993,SPRAYED MINERAL WOOL THERMAL INSULATION,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,519,IS 9743: 1990,IS9743:1990,THERMAL INSULATION FINISHING CEMENTS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,520,IS 9842: 1994,IS9842:1994,PREFORMED FIBROUS PIPE INSULATION,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,521,IS 11128: 1984,IS11128:1984,SPRAY – APPLIED HYDRATED CALCIUM SILICATE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,523,IS 11308: 1985,IS11308:1985,HYDRAULIC SETTING THERMAL INSULATING,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,525,IS 13204: 1991,IS13204:1991,RIGID PHENOLIC FOAM FOR THERMAL,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,527,IS 2046: 1995,IS2046:1995,DECORATIVE THERMOSETTING SYNTHETIC,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,533,IS 14182: 1994,IS14182:1994,SOLVENT CEMENT FOR USE WITH UNPLASTICIZED,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,536,IS 14753: 1999,IS14753:1999,POLYMETHYL METHACRYLATE (PMMA),text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,538,IS 1554 (Part 1): 1988,IS1554(PART 1):1988,PVC INSULATED (HEAVY DUTY),text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,539,IS 7098 (Part 1): 1988,IS7098(PART 1):1988,CROSSLINKED POLYETHYLENE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,540,IS 9968 (Part 1): 1998,IS9968(PART 1):1998,"ELASTOMER INSULATED CABLES,",text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,543,IS 2412: 1975,IS2412:1975,LINK CLIPS FOR ELECTRICAL WIRING,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,558,IS 14772: 2000,IS14772:2000,GENERAL REQUIREMENTS FOR ENCLOSURES,text contains repeated IS-code-like references or parser merge markers
