standard_code,old_product,new_product,old_confidence,new_confidence,changed,reason
IS 2676: 1981,,aluminium_alloys_sheet_strip,low,medium,True,source_grounded_title_phrase
IS 2677: 1979,,plates_hot_rolled_sheets,low,medium,True,source_grounded_title_phrase
IS 2678: 1987,pipe,pipe,low,high,True,title_scope_or_summary
IS 2681: 1993,bolt,door,high,high,True,title_scope_or_summary
IS 2686: 1977,,aggregate,low,high,True,title_scope_or_summary
IS 2687: 1991,nut,nut,high,high,False,unchanged
IS 2690 (Part 1): 1993,tile,tile,high,high,False,unchanged
IS 2690 (Part 2): 1992,tile,tile,high,high,False,unchanged
IS 2691: 1988,,brick,low,high,True,title_scope_or_summary
IS 2692: 1989,screw,screw,low,high,True,title_scope_or_summary
IS 269: 1989,cement,cement,high,high,False,unchanged
IS 2721: 1979,pipe_fitting,pipe_fitting,low,high,True,title_scope_or_summary
IS 277: 2003,,steel_sheet,low,high,True,title_scope_or_summary
IS 278: 1978,,coating,low,low,True,full_text_repeated_terms
IS 280: 1978,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 281: 1991,bolt,door,high,high,True,title_scope_or_summary
IS 2835: 1987,,glass,low,high,True,title_scope_or_summary
IS 2849: 1983,,block,low,high,True,title_scope_or_summary
IS 2907: 1998,,rivet,low,high,True,title_scope_or_summary
IS 2963: 1979,pipe_fitting,pipe_fitting,high,low,True,full_text_repeated_terms
IS 2998: 1982,,rivet,low,high,True,title_scope_or_summary
IS 3004: 1979,,plug_socket,low,high,True,title_scope_or_summary
IS 3006: 1979,pipe,pipe_fitting,low,low,True,full_text_repeated_terms
IS 3037: 1986,,waterproofing_membrane,low,high,True,title_scope_or_summary
IS 3063: 1994,bolt,washer,low,low,True,full_text_repeated_terms
IS 3068: 1986,,brick,low,low,True,full_text_repeated_terms
IS 3076: 1985,pipe,pipe,high,high,False,unchanged
IS 3087: 1985,,board,low,high,True,title_scope_or_summary
IS 3097: 1980,,board,low,high,True,title_scope_or_summary
IS 3115: 1992,,block,low,high,True,title_scope_or_summary
IS 3117: 2004,,cement,low,low,True,full_text_repeated_terms
IS 3121: 1981,screw,screw,high,high,False,unchanged
IS 3129: 1985,,board,low,high,True,title_scope_or_summary
IS 3182: 1986,,brick,low,low,True,full_text_repeated_terms
IS 3308: 1981,,thermal_insulation,low,low,True,full_text_repeated_terms
IS 3311: 1979,pipe_fitting,plug_socket,low,low,True,full_text_repeated_terms
IS 3316: 1974,,stone,low,high,True,title_scope_or_summary
IS 3337: 1978,,timber,low,low,True,full_text_repeated_terms
IS 3348: 1965,thermal_insulation,board,high,high,True,title_scope_or_summary
IS 3367: 1993,tile,tile,high,high,False,unchanged
IS 3384: 1986,,waterproofing_membrane,low,high,True,title_scope_or_summary
IS 3419: 1989,pipe_fitting,,high,high,True,non_product_family_link
IS 3438: 1994,,glass,low,high,True,title_scope_or_summary
IS 3443: 1980,,crane_rail_section,low,medium,True,source_grounded_title_phrase
IS 3461: 1980,tile,tile,high,high,False,unchanged
IS 3462: 1986,,tile,low,low,True,full_text_repeated_terms
IS 3466: 1988,cement,cement,high,high,False,unchanged
IS 3468: 1991,pipe,nut,low,low,True,full_text_repeated_terms
IS 3478: 1966,,,low,high,True,non_product_family_link
IS 3480: 1966,,,low,medium,True,non_product_family_link
IS 3489: 1985,,steel_sheet,low,low,True,full_text_repeated_terms
IS 3502: 1994,,pipe,low,low,True,full_text_repeated_terms
IS 3564: 1995,,door,low,high,True,title_scope_or_summary
IS 3583: 1988,,brick,low,high,True,title_scope_or_summary
IS 3589: 2001,pipe,pipe,low,high,True,title_scope_or_summary
IS 3620: 1979,,block,low,low,True,full_text_repeated_terms
IS 3622: 1977,tile,tile,high,high,False,unchanged
IS 3629: 1986,,timber,low,high,True,title_scope_or_summary
IS 362: 1991,,hinge,low,high,True,title_scope_or_summary
IS 363: 1993,,hasps_staples,low,medium,True,source_grounded_title_phrase
IS 364: 1993,,window,low,low,True,full_text_repeated_terms
IS 3677: 1985,thermal_insulation,thermal_insulation,high,high,False,unchanged
IS 3709: 1966,cement,window,high,high,True,title_scope_or_summary
IS 3731: 1985,,timber,low,low,True,full_text_repeated_terms
IS 3757: 1985,bolt,bolt,high,high,False,unchanged
